Show,Total Boletos,Nombre Localidad,Forma de Pago,Estado de Pago,EsCompartido,TipoShow,Mes,Día,Periodo,Mes_Show,Día_Show,Periodo_Show
Libertad Vs U Catolica,5,TRIBUNA NORTE,Wallet,1,0,Cine,Julio,Viernes,Tarde,Noviembre,Jueves,Noche
Ibarra Fight League,6,VIP,AppExterna,1,0,Otro,Julio,Martes,Noche,Agosto,Domingo,Tarde
El viaje de la Santa,2,Golden Box,PayPhone,0,1,Otro,Julio,Domingo,Mañana,Abril,Viernes,Mañana
RALLY PROVINCIA DE LOJA,7,Golden Box,PayPhone,0,0,Otro,Julio,Martes,Noche,Julio,Jueves,Noche
JORGE GUZMAN VS BARCELONA,2,BOLETO SOLIDARIO,Wallet,0,1,Donación,Julio,Sábado,Mañana,Diciembre,Martes,Noche
El viaje de la Santa,8,SALA 1 2D,AppExterna,1,0,Talleres,Julio,Martes,Noche,Abril,Viernes,Mañana
Los peces no vuelan,6,VENTA OFICIAL,Wallet,1,0,Cine,Julio,Viernes,Tarde,Octubre,Viernes,Noche
ALZATE,2,PLATINUM,PayPhone,1,1,Talleres,Julio,Domingo,Tarde,Febrero,Jueves,Noche
Los peces no vuelan,1,BOLETO GENERAL,Wallet,1,0,Donación,Julio,Lunes,Mañana,Diciembre,Lunes,Noche
MOANA 2,1,TRIBUNA NORTE,Wallet,1,0,Otro,Julio,Sábado,Tarde,Marzo,Miércoles,Mañana
San Juanes Santa Rosa del Tejar,2,VIP,Wallet,1,0,Otro,Julio,Viernes,Tarde,Febrero,Jueves,Noche
TARDE CLIPP,2,SALA 1 2D,AppExterna,1,1,Deporte,Julio,Jueves,Mañana,Junio,Jueves,Tarde
TARDE CLIPP,8,GENERAL,Wallet,1,0,Teatro,Julio,Lunes,Noche,Octubre,Sábado,Mañana
TARDE CLIPP,1,PLATEA ALTA,PayPhone,0,0,Concierto,Julio,Martes,Mañana,Abril,Miércoles,Noche
El viaje de la Santa,8,Golden Box,PayPhone,1,0,Otro,Julio,Martes,Noche,Junio,Miércoles,Noche
ALZATE,2,CORTESÍAS,PayPhone,1,0,Concierto,Julio,Lunes,Mañana,Marzo,Sábado,Mañana
DESAYUNO EMPRESARIAL,9,CORTESÍAS VIP,AppExterna,0,0,Talleres,Julio,Jueves,Mañana,Febrero,Miércoles,Mañana
CAPACITACION FERIA,3,VIP,PayPhone,1,0,Otro,Julio,Martes,Tarde,Noviembre,Sábado,Tarde
FESTIVAL DE LA CHICHA,3,PLATEA MEDIA,PayPhone,1,1,Concierto,Julio,Miércoles,Mañana,Febrero,Jueves,Tarde
San Juanes Santa Rosa del Tejar,8,SALA 1 2D,AppExterna,0,1,Cine,Julio,Lunes,Tarde,Noviembre,Miércoles,Noche
28ava Asamblea Nacional,5,PLATEA MEDIA,AppExterna,0,0,Ferias,Julio,Viernes,Mañana,Abril,Domingo,Noche
MOANA 2,4,SALA 1 3D,AppExterna,1,1,Cine,Julio,Lunes,Noche,Febrero,Martes,Tarde
LIBERTAD FC VS Emelec SC,3,PRESIDENTES,Wallet,1,1,Teatro,Julio,Jueves,Mañana,Agosto,Jueves,Noche
El viaje de la Santa,9,SALA 2,AppExterna,0,1,Ferias,Julio,Domingo,Tarde,Abril,Viernes,Noche
DESAYUNO EMPRESARIAL,1,INSCRIPCIÓN DIGITAL,PayPhone,0,0,Concierto,Julio,Domingo,Mañana,Septiembre,Jueves,Mañana
Ibarra Fight League,4,TRIBUNA SUR,PayPhone,1,0,Donación,Julio,Lunes,Mañana,Julio,Lunes,Tarde
Ibarra Fight League,7,BOLETO GENERAL,AppExterna,1,1,Donación,Julio,Martes,Tarde,Octubre,Lunes,Tarde
28ava Asamblea Nacional,4,TRIBUNA NORTE,PayPhone,0,1,Deporte,Julio,Viernes,Tarde,Mayo,Viernes,Noche
TARDE CLIPP,9,BOLETO SOLIDARIO,AppExterna,1,1,Ferias,Julio,Martes,Tarde,Octubre,Lunes,Mañana
RALLY PROVINCIA DE LOJA,7,VIP,Wallet,0,0,Deporte,Julio,Miércoles,Noche,Febrero,Martes,Noche
El viaje de la Santa,4,GOLDEN,Wallet,1,1,Talleres,Julio,Lunes,Noche,Noviembre,Miércoles,Tarde
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,5,FUNCIÓN 3,AppExterna,1,0,Deporte,Julio,Jueves,Mañana,Abril,Martes,Noche
TARDE CLIPP,9,GENERAL,PayPhone,1,1,Talleres,Julio,Miércoles,Tarde,Septiembre,Sábado,Noche
LIBERTAD FC VS Emelec SC,6,SALA 2,PayPhone,1,1,Deporte,Julio,Lunes,Tarde,Agosto,Lunes,Noche
ALZATE,7,BOLETO SOLIDARIO,AppExterna,1,0,Concierto,Julio,Martes,Tarde,Abril,Martes,Noche
ALZATE,4,CORTESÍAS,AppExterna,1,0,Deporte,Julio,Martes,Noche,Febrero,Jueves,Noche
28ava Asamblea Nacional,6,SALA 2,PayPhone,1,0,Deporte,Julio,Viernes,Noche,Marzo,Martes,Noche
CAPACITACION FERIA,8,CORTESÍAS GOLDEN,PayPhone,0,1,Cine,Julio,Jueves,Mañana,Diciembre,Domingo,Tarde
LIBERTAD FC VS Emelec SC,1,GOLDEN,PayPhone,0,1,Concierto,Julio,Miércoles,Mañana,Marzo,Miércoles,Tarde
TARDE CLIPP,2,CORTESÍAS,AppExterna,1,0,Otro,Julio,Miércoles,Tarde,Febrero,Viernes,Mañana
CAPACITACION FERIA,3,PLATEA ALTA,Wallet,1,0,Talleres,Julio,Miércoles,Tarde,Diciembre,Miércoles,Tarde
Libertad Vs U Catolica,2,PALCO,Wallet,1,1,Otro,Julio,Domingo,Mañana,Mayo,Martes,Noche
El viaje de la Santa,9,BOLETO GENERAL,PayPhone,1,0,Ferias,Julio,Miércoles,Tarde,Junio,Jueves,Noche
Ibarra Fight League,3,FUNCIÓN 2,Wallet,0,0,Otro,Julio,Sábado,Mañana,Abril,Domingo,Mañana
28ava Asamblea Nacional,1,VENTA OFICIAL,PayPhone,0,1,Ferias,Julio,Miércoles,Tarde,Marzo,Sábado,Tarde
LIBERTAD FC VS Emelec SC,2,Golden Box,PayPhone,0,1,Concierto,Julio,Miércoles,Mañana,Abril,Jueves,Mañana
TARDE CLIPP,4,BOLETO PALCO,Wallet,0,1,Talleres,Julio,Jueves,Mañana,Agosto,Sábado,Mañana
LIBERTAD FC VS Emelec SC,4,INSCRIPCIÓN DIGITAL,Wallet,1,1,Cine,Julio,Martes,Mañana,Noviembre,Lunes,Mañana
FESTIVAL DE LA CHICHA,1,INSCRIPCIÓN DIGITAL,PayPhone,1,1,Ferias,Julio,Domingo,Tarde,Noviembre,Sábado,Noche
RALLY PROVINCIA DE LOJA,2,BOLETO PALCO,AppExterna,1,1,Donación,Julio,Domingo,Mañana,Marzo,Lunes,Tarde
FESTIVAL DE LA CHICHA,1,BOLETO SOLIDARIO,AppExterna,0,1,Concierto,Julio,Viernes,Mañana,Septiembre,Jueves,Mañana
El viaje de la Santa,5,TRIBUNA SUR,PayPhone,0,0,Deporte,Julio,Viernes,Noche,Abril,Martes,Tarde
JORGE GUZMAN VS BARCELONA,2,Adhesiones,AppExterna,0,0,Teatro,Julio,Jueves,Tarde,Febrero,Lunes,Noche
Los peces no vuelan,9,PREVENTA ,PayPhone,1,1,Deporte,Julio,Viernes,Noche,Abril,Sábado,Noche
El viaje de la Santa,9,CORTESÍAS GOLDEN,Wallet,1,0,Talleres,Julio,Martes,Tarde,Septiembre,Miércoles,Noche
San Juanes Santa Rosa del Tejar,3,CORTESÍAS VIP,Wallet,1,0,Cine,Julio,Domingo,Noche,Octubre,Martes,Noche
El viaje de la Santa,2,GENERAL,PayPhone,0,0,Ferias,Julio,Viernes,Noche,Mayo,Sábado,Tarde
MOANA 2,4,PLATEA BAJA,PayPhone,0,0,Donación,Julio,Domingo,Mañana,Mayo,Lunes,Tarde
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,2,PLATINUM,AppExterna,0,1,Cine,Julio,Sábado,Mañana,Febrero,Martes,Tarde
Los peces no vuelan,5,PALCO,Wallet,1,1,Deporte,Julio,Martes,Tarde,Febrero,Lunes,Mañana
La Inocente,2,GENERAL,AppExterna,1,1,Deporte,Julio,Martes,Noche,Abril,Martes,Mañana
MOANA 2,4,FUNCIÓN 2,PayPhone,0,1,Ferias,Julio,Lunes,Mañana,Mayo,Martes,Mañana
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,1,PRESIDENTES,AppExterna,0,1,Ferias,Julio,Domingo,Noche,Julio,Martes,Tarde
San Juanes Santa Rosa del Tejar,1,CORTESÍAS GOLDEN,PayPhone,0,0,Otro,Julio,Miércoles,Tarde,Mayo,Lunes,Mañana
RALLY PROVINCIA DE LOJA,1,VIP,AppExterna,1,1,Donación,Julio,Lunes,Tarde,Noviembre,Jueves,Mañana
San Juanes Santa Rosa del Tejar,5,Adhesiones,PayPhone,0,1,Cine,Julio,Miércoles,Noche,Octubre,Viernes,Mañana
El viaje de la Santa,6,GOLDEN,AppExterna,1,1,Cine,Julio,Domingo,Mañana,Junio,Domingo,Noche
Libertad Vs U Catolica,1,CORTESÍAS VIP,PayPhone,0,1,Cine,Julio,Sábado,Tarde,Diciembre,Lunes,Tarde
Ibarra Fight League,4,FUNCIÓN 3,PayPhone,0,1,Cine,Julio,Viernes,Mañana,Septiembre,Lunes,Mañana
DESAYUNO EMPRESARIAL,9,VIP,Wallet,0,0,Concierto,Julio,Lunes,Mañana,Mayo,Jueves,Noche
San Juanes Santa Rosa del Tejar,1,CORTESÍAS,Wallet,0,0,Ferias,Julio,Lunes,Mañana,Mayo,Martes,Tarde
DESAYUNO EMPRESARIAL,4,SALA 3,AppExterna,0,0,Teatro,Julio,Miércoles,Tarde,Noviembre,Jueves,Mañana
LIBERTAD FC VS Emelec SC,3,BOLETO SOLIDARIO,AppExterna,1,1,Donación,Julio,Sábado,Mañana,Marzo,Jueves,Noche
El viaje de la Santa,7,BOLETO GENERAL,AppExterna,1,0,Cine,Julio,Martes,Mañana,Febrero,Lunes,Tarde
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,6,CORTESÍAS,PayPhone,0,0,Cine,Julio,Domingo,Mañana,Noviembre,Lunes,Tarde
El viaje de la Santa,8,PLATEA MEDIA,Wallet,1,0,Talleres,Julio,Lunes,Noche,Marzo,Sábado,Noche
ALZATE,2,SALA 1 3D,PayPhone,1,0,Talleres,Julio,Lunes,Tarde,Junio,Viernes,Mañana
MOANA 2,7,SALA 2,Wallet,0,0,Talleres,Julio,Miércoles,Mañana,Septiembre,Lunes,Tarde
JORGE GUZMAN VS BARCELONA,2,GENERAL,PayPhone,1,1,Cine,Julio,Lunes,Noche,Octubre,Lunes,Noche
Libertad Vs U Catolica,2,SALA 1 2D,Wallet,1,0,Concierto,Julio,Domingo,Tarde,Diciembre,Martes,Mañana
FESTIVAL DE LA CHICHA,7,PRESIDENTES,Wallet,1,0,Cine,Julio,Domingo,Noche,Abril,Lunes,Noche
CAPACITACION FERIA,5,CORTESÍAS GOLDEN,Wallet,0,1,Deporte,Julio,Lunes,Tarde,Julio,Jueves,Tarde
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,4,VIP,AppExterna,0,1,Talleres,Julio,Domingo,Mañana,Julio,Lunes,Mañana
LIBERTAD FC VS Emelec SC,6,Adhesiones,PayPhone,1,1,Talleres,Julio,Martes,Mañana,Septiembre,Sábado,Tarde
Libertad Vs U Catolica,3,GENERAL,AppExterna,0,0,Talleres,Julio,Viernes,Tarde,Septiembre,Viernes,Tarde
28ava Asamblea Nacional,4,SALA 1 3D,Wallet,0,1,Donación,Julio,Viernes,Noche,Marzo,Miércoles,Noche
DESAYUNO EMPRESARIAL,5,CORTESÍAS VIP,AppExterna,0,1,Otro,Julio,Domingo,Mañana,Julio,Viernes,Mañana
28ava Asamblea Nacional,6,BOLETO SOLIDARIO,Wallet,1,1,Talleres,Julio,Domingo,Mañana,Julio,Martes,Tarde
San Juanes Santa Rosa del Tejar,5,Adhesiones,AppExterna,1,0,Teatro,Julio,Domingo,Mañana,Mayo,Viernes,Mañana
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,2,SALA 1 2D,PayPhone,1,1,Donación,Julio,Miércoles,Mañana,Febrero,Domingo,Mañana
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,8,PALCO,AppExterna,0,0,Ferias,Julio,Jueves,Mañana,Junio,Domingo,Noche
FESTIVAL DE LA CHICHA,6,SALA 1 3D,PayPhone,1,1,Ferias,Julio,Lunes,Mañana,Junio,Sábado,Mañana
El viaje de la Santa,4,Adhesiones,AppExterna,0,1,Deporte,Julio,Jueves,Tarde,Agosto,Lunes,Noche
TARDE CLIPP,9,VIP,PayPhone,0,1,Donación,Julio,Sábado,Mañana,Abril,Jueves,Mañana
Los peces no vuelan,5,PLATEA BAJA,AppExterna,1,0,Teatro,Julio,Miércoles,Tarde,Octubre,Martes,Tarde
Libertad Vs U Catolica,2,PALCO,AppExterna,1,1,Teatro,Julio,Lunes,Tarde,Marzo,Sábado,Tarde
Ibarra Fight League,1,SALA 3,PayPhone,0,0,Concierto,Julio,Jueves,Noche,Febrero,Lunes,Noche
Los peces no vuelan,8,BOLETO GENERAL,Wallet,1,0,Otro,Julio,Miércoles,Tarde,Febrero,Miércoles,Tarde
CAPACITACION FERIA,1,BOLETO PALCO,Wallet,1,0,Deporte,Julio,Jueves,Mañana,Febrero,Jueves,Mañana
RALLY PROVINCIA DE LOJA,3,BOLETO PALCO,Wallet,0,1,Ferias,Julio,Lunes,Mañana,Septiembre,Lunes,Mañana
ALZATE,6,BOLETO SOLIDARIO,PayPhone,1,1,Cine,Julio,Miércoles,Noche,Septiembre,Martes,Tarde
El viaje de la Santa,6,GENERAL,Wallet,1,1,Donación,Julio,Viernes,Mañana,Septiembre,Lunes,Tarde
28ava Asamblea Nacional,5,CORTESÍAS,Wallet,0,0,Ferias,Julio,Miércoles,Tarde,Agosto,Lunes,Mañana
MOANA 2,7,SILLAS DIGITAL,AppExterna,0,0,Concierto,Julio,Jueves,Tarde,Noviembre,Miércoles,Tarde
LIBERTAD FC VS Emelec SC,9,GOLDEN,PayPhone,1,1,Teatro,Julio,Martes,Noche,Diciembre,Lunes,Noche
ALZATE,4,BOLETO SOLIDARIO,PayPhone,0,1,Deporte,Julio,Martes,Mañana,Noviembre,Jueves,Noche
CAPACITACION FERIA,9,BOLETO GENERAL,Wallet,1,1,Cine,Julio,Jueves,Tarde,Noviembre,Sábado,Tarde
San Juanes Santa Rosa del Tejar,5,VIP,PayPhone,1,0,Donación,Julio,Martes,Tarde,Octubre,Viernes,Noche
Los peces no vuelan,9,CORTESÍAS,AppExterna,1,1,Ferias,Julio,Martes,Tarde,Junio,Viernes,Noche
Libertad Vs U Catolica,2,PLATEA MEDIA,AppExterna,1,1,Ferias,Julio,Domingo,Tarde,Diciembre,Lunes,Tarde
San Juanes Santa Rosa del Tejar,2,BOLETO PALCO,AppExterna,1,1,Ferias,Julio,Miércoles,Mañana,Noviembre,Domingo,Tarde
ALZATE,2,PREVENTA ,PayPhone,1,0,Talleres,Julio,Martes,Mañana,Noviembre,Jueves,Tarde
LIBERTAD FC VS Emelec SC,3,PLATINUM,Wallet,1,1,Ferias,Julio,Jueves,Mañana,Abril,Sábado,Tarde
DESAYUNO EMPRESARIAL,6,PREFERENCIA,Wallet,1,1,Talleres,Julio,Martes,Tarde,Octubre,Domingo,Tarde
San Juanes Santa Rosa del Tejar,6,SALA 1 2D,Wallet,0,1,Ferias,Julio,Miércoles,Mañana,Noviembre,Sábado,Mañana
ALZATE,7,SALA 3,PayPhone,1,0,Otro,Julio,Sábado,Noche,Agosto,Lunes,Mañana
San Juanes Santa Rosa del Tejar,4,TRIBUNA NORTE,Wallet,1,1,Deporte,Julio,Viernes,Mañana,Octubre,Sábado,Noche
Ibarra Fight League,5,SALA 3,PayPhone,0,0,Donación,Julio,Lunes,Tarde,Febrero,Jueves,Tarde
Ibarra Fight League,9,CORTESÍAS GOLDEN,Wallet,0,1,Deporte,Julio,Domingo,Tarde,Octubre,Miércoles,Mañana
RALLY PROVINCIA DE LOJA,8,PLATEA BAJA,Wallet,1,0,Talleres,Julio,Sábado,Mañana,Junio,Domingo,Mañana
MOANA 2,7,GOLDEN,Wallet,1,0,Ferias,Julio,Domingo,Noche,Febrero,Jueves,Mañana
MOANA 2,1,PALCO,AppExterna,0,0,Otro,Julio,Lunes,Noche,Diciembre,Sábado,Noche
TARDE CLIPP,3,SALA 2,PayPhone,1,1,Cine,Julio,Lunes,Noche,Julio,Martes,Mañana
LIBERTAD FC VS Emelec SC,8,CORTESÍAS VIP,PayPhone,0,0,Ferias,Julio,Sábado,Tarde,Julio,Jueves,Mañana
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,6,Adhesiones,Wallet,1,1,Cine,Julio,Viernes,Mañana,Marzo,Martes,Tarde
San Juanes Santa Rosa del Tejar,3,PREVENTA ,AppExterna,0,0,Talleres,Julio,Miércoles,Tarde,Mayo,Sábado,Tarde
RALLY PROVINCIA DE LOJA,8,INSCRIPCIÓN DIGITAL,AppExterna,0,0,Otro,Julio,Martes,Tarde,Agosto,Miércoles,Noche
FESTIVAL DE LA CHICHA,5,PLATEA MEDIA,AppExterna,0,1,Teatro,Julio,Jueves,Mañana,Febrero,Miércoles,Noche
San Juanes Santa Rosa del Tejar,8,BOLETO GENERAL,Wallet,1,1,Donación,Julio,Sábado,Mañana,Noviembre,Domingo,Noche
JORGE GUZMAN VS BARCELONA,3,Golden Box,PayPhone,0,1,Concierto,Julio,Jueves,Tarde,Julio,Miércoles,Tarde
La Inocente,9,BOLETO PALCO,PayPhone,0,0,Teatro,Julio,Miércoles,Noche,Marzo,Jueves,Noche
DESAYUNO EMPRESARIAL,4,PREVENTA ,PayPhone,0,1,Concierto,Julio,Sábado,Mañana,Septiembre,Domingo,Tarde
El viaje de la Santa,8,SALA 2,AppExterna,1,1,Teatro,Julio,Jueves,Noche,Mayo,Lunes,Mañana
FESTIVAL DE LA CHICHA,6,SALA 1 2D,AppExterna,0,1,Otro,Julio,Miércoles,Mañana,Julio,Viernes,Noche
FESTIVAL DE LA CHICHA,3,PLATEA ALTA,AppExterna,1,0,Talleres,Julio,Viernes,Mañana,Agosto,Martes,Mañana
Libertad Vs U Catolica,4,PLATEA BAJA,PayPhone,1,0,Donación,Julio,Lunes,Noche,Mayo,Sábado,Noche
DESAYUNO EMPRESARIAL,1,CORTESÍAS GOLDEN,Wallet,0,1,Donación,Julio,Lunes,Noche,Diciembre,Martes,Tarde
DESAYUNO EMPRESARIAL,8,SALA 2,Wallet,1,1,Concierto,Julio,Lunes,Mañana,Marzo,Sábado,Tarde
CAPACITACION FERIA,2,GOLDEN,AppExterna,0,1,Cine,Julio,Lunes,Tarde,Septiembre,Viernes,Mañana
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,2,BOLETO SOLIDARIO,PayPhone,1,0,Talleres,Julio,Lunes,Mañana,Diciembre,Miércoles,Noche
Libertad Vs U Catolica,1,BOLETO SOLIDARIO,AppExterna,0,1,Otro,Julio,Sábado,Mañana,Octubre,Miércoles,Mañana
MOANA 2,6,CORTESÍAS GOLDEN,Wallet,1,0,Cine,Julio,Lunes,Mañana,Abril,Martes,Noche
El viaje de la Santa,6,PLATEA MEDIA,PayPhone,0,0,Talleres,Julio,Domingo,Tarde,Agosto,Domingo,Noche
RALLY PROVINCIA DE LOJA,3,SALA 2,AppExterna,1,0,Deporte,Julio,Sábado,Mañana,Mayo,Domingo,Noche
CAPACITACION FERIA,7,INSCRIPCIÓN DIGITAL,AppExterna,0,0,Ferias,Julio,Miércoles,Noche,Diciembre,Sábado,Mañana
CAPACITACION FERIA,2,GOLDEN,Wallet,1,0,Donación,Julio,Viernes,Tarde,Febrero,Miércoles,Mañana
28ava Asamblea Nacional,2,BOLETO SOLIDARIO,AppExterna,1,0,Deporte,Julio,Lunes,Noche,Diciembre,Miércoles,Tarde
El viaje de la Santa,3,PREVENTA ,AppExterna,1,0,Donación,Julio,Martes,Mañana,Junio,Sábado,Mañana
LIBERTAD FC VS Emelec SC,5,FUNCIÓN 1,PayPhone,0,1,Teatro,Julio,Jueves,Mañana,Junio,Sábado,Mañana
RALLY PROVINCIA DE LOJA,4,VIP,AppExterna,1,0,Teatro,Julio,Domingo,Noche,Abril,Lunes,Tarde
Libertad Vs U Catolica,3,INSCRIPCIÓN DIGITAL,Wallet,0,1,Talleres,Julio,Martes,Noche,Abril,Viernes,Tarde
LIBERTAD FC VS Emelec SC,7,SALA 2,AppExterna,0,0,Cine,Julio,Jueves,Mañana,Febrero,Sábado,Mañana
28ava Asamblea Nacional,2,GOLDEN,PayPhone,1,1,Donación,Julio,Viernes,Mañana,Agosto,Sábado,Mañana
San Juanes Santa Rosa del Tejar,8,CORTESÍAS VIP,PayPhone,1,0,Donación,Julio,Viernes,Mañana,Julio,Martes,Tarde
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,8,BOLETO PALCO,Wallet,0,1,Otro,Julio,Lunes,Tarde,Junio,Martes,Noche
San Juanes Santa Rosa del Tejar,7,SALA 1 2D,PayPhone,1,0,Talleres,Julio,Jueves,Noche,Febrero,Lunes,Mañana
FESTIVAL DE LA CHICHA,4,FUNCIÓN 3,Wallet,0,1,Talleres,Julio,Miércoles,Noche,Junio,Martes,Mañana
TARDE CLIPP,2,INSCRIPCIÓN DIGITAL,AppExterna,1,1,Concierto,Julio,Martes,Noche,Octubre,Domingo,Mañana
TARDE CLIPP,7,TRIBUNA SUR,PayPhone,0,1,Talleres,Julio,Domingo,Mañana,Agosto,Lunes,Mañana
28ava Asamblea Nacional,7,CORTESÍAS,Wallet,0,1,Ferias,Julio,Viernes,Mañana,Diciembre,Lunes,Noche
Los peces no vuelan,6,VENTA OFICIAL,Wallet,0,1,Cine,Julio,Lunes,Mañana,Diciembre,Viernes,Mañana
El viaje de la Santa,3,BOLETO PALCO,AppExterna,0,1,Otro,Julio,Miércoles,Noche,Julio,Sábado,Tarde
RALLY PROVINCIA DE LOJA,5,PALCO,Wallet,0,0,Concierto,Julio,Viernes,Noche,Agosto,Miércoles,Tarde
RALLY PROVINCIA DE LOJA,5,PRESIDENTES,AppExterna,1,0,Donación,Julio,Sábado,Mañana,Febrero,Jueves,Tarde
Libertad Vs U Catolica,3,PLATEA ALTA,AppExterna,0,1,Talleres,Julio,Lunes,Mañana,Abril,Lunes,Mañana
DESAYUNO EMPRESARIAL,2,FUNCIÓN 3,PayPhone,0,1,Concierto,Julio,Viernes,Tarde,Agosto,Miércoles,Noche
Ibarra Fight League,8,PREFERENCIA,AppExterna,0,1,Teatro,Julio,Lunes,Noche,Septiembre,Sábado,Noche
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,8,PLATEA ALTA,Wallet,0,0,Talleres,Julio,Domingo,Tarde,Abril,Viernes,Noche
Los peces no vuelan,4,INSCRIPCIÓN DIGITAL,Wallet,1,1,Otro,Julio,Domingo,Noche,Septiembre,Jueves,Tarde
Los peces no vuelan,5,PALCO,Wallet,0,1,Teatro,Julio,Viernes,Mañana,Agosto,Miércoles,Noche
LIBERTAD FC VS Emelec SC,9,PALCO,PayPhone,1,0,Donación,Julio,Lunes,Mañana,Diciembre,Miércoles,Mañana
San Juanes Santa Rosa del Tejar,8,Adhesiones,AppExterna,0,0,Talleres,Julio,Viernes,Noche,Agosto,Martes,Mañana
El viaje de la Santa,8,SALA 3,PayPhone,1,0,Cine,Julio,Martes,Noche,Julio,Jueves,Mañana
La Inocente,4,PLATEA ALTA,AppExterna,0,0,Cine,Julio,Viernes,Mañana,Junio,Sábado,Tarde
TARDE CLIPP,2,CORTESÍAS,PayPhone,0,0,Talleres,Julio,Jueves,Noche,Marzo,Sábado,Tarde
La Inocente,7,FUNCIÓN 3,Wallet,1,1,Talleres,Julio,Lunes,Mañana,Octubre,Sábado,Tarde
Los peces no vuelan,6,GENERAL,Wallet,1,1,Deporte,Julio,Lunes,Mañana,Diciembre,Viernes,Noche
MOANA 2,7,PLATEA ALTA,PayPhone,1,1,Concierto,Julio,Martes,Noche,Diciembre,Martes,Tarde
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,6,INSCRIPCIÓN DIGITAL,Wallet,1,1,Ferias,Julio,Miércoles,Mañana,Agosto,Sábado,Mañana
28ava Asamblea Nacional,3,BOLETO PALCO,PayPhone,1,0,Concierto,Julio,Sábado,Mañana,Octubre,Martes,Mañana
TARDE CLIPP,2,CORTESÍAS,AppExterna,0,1,Talleres,Julio,Sábado,Mañana,Febrero,Lunes,Noche
El viaje de la Santa,6,PLATINUM,AppExterna,1,0,Talleres,Julio,Sábado,Tarde,Julio,Viernes,Tarde
TARDE CLIPP,2,PREFERENCIA,Wallet,0,0,Cine,Julio,Jueves,Tarde,Diciembre,Domingo,Tarde
28ava Asamblea Nacional,6,Adhesiones,AppExterna,0,1,Talleres,Julio,Lunes,Mañana,Noviembre,Jueves,Noche
ALZATE,3,FUNCIÓN 3,AppExterna,1,0,Donación,Julio,Jueves,Tarde,Abril,Sábado,Tarde
CAPACITACION FERIA,3,PLATEA ALTA,PayPhone,0,0,Teatro,Julio,Sábado,Tarde,Noviembre,Domingo,Tarde
JORGE GUZMAN VS BARCELONA,5,Golden Box,PayPhone,1,1,Ferias,Julio,Jueves,Tarde,Mayo,Martes,Mañana
LIBERTAD FC VS Emelec SC,2,BOLETO PALCO,PayPhone,1,1,Concierto,Julio,Miércoles,Mañana,Agosto,Lunes,Tarde
ALZATE,1,TRIBUNA SUR,Wallet,1,1,Otro,Julio,Sábado,Tarde,Octubre,Viernes,Mañana
DESAYUNO EMPRESARIAL,2,BOLETO GENERAL,Wallet,0,1,Otro,Julio,Jueves,Mañana,Noviembre,Miércoles,Tarde
San Juanes Santa Rosa del Tejar,4,SALA 2,Wallet,0,0,Ferias,Julio,Domingo,Noche,Febrero,Sábado,Noche
28ava Asamblea Nacional,7,CORTESÍAS GOLDEN,PayPhone,1,1,Cine,Julio,Miércoles,Tarde,Octubre,Domingo,Mañana
LIBERTAD FC VS Emelec SC,2,TRIBUNA NORTE,PayPhone,0,1,Deporte,Julio,Jueves,Tarde,Agosto,Jueves,Noche
JORGE GUZMAN VS BARCELONA,8,CORTESÍAS GOLDEN,AppExterna,0,1,Cine,Julio,Domingo,Noche,Mayo,Miércoles,Noche
Los peces no vuelan,2,Adhesiones,Wallet,1,1,Teatro,Julio,Miércoles,Noche,Septiembre,Domingo,Noche
MOANA 2,6,BOLETO SOLIDARIO,PayPhone,1,1,Concierto,Julio,Domingo,Noche,Julio,Jueves,Mañana
Libertad Vs U Catolica,3,GENERAL,Wallet,1,1,Talleres,Julio,Domingo,Mañana,Marzo,Miércoles,Tarde
CAPACITACION FERIA,5,SALA 1 2D,PayPhone,0,1,Otro,Julio,Miércoles,Mañana,Noviembre,Domingo,Noche
JORGE GUZMAN VS BARCELONA,9,Golden Box,PayPhone,0,1,Talleres,Julio,Miércoles,Mañana,Diciembre,Lunes,Tarde
San Juanes Santa Rosa del Tejar,6,SALA 1 2D,PayPhone,1,1,Teatro,Julio,Sábado,Tarde,Diciembre,Sábado,Mañana
DESAYUNO EMPRESARIAL,6,INSCRIPCIÓN DIGITAL,AppExterna,0,1,Otro,Julio,Jueves,Tarde,Diciembre,Sábado,Mañana
Libertad Vs U Catolica,7,FUNCIÓN 2,AppExterna,1,1,Concierto,Julio,Martes,Tarde,Agosto,Viernes,Mañana
ALZATE,5,PLATINUM,Wallet,0,1,Cine,Julio,Viernes,Mañana,Marzo,Jueves,Mañana
