Show,Nombre Localidad,Forma de Pago,Estado de Pago,EsCompartido,Mes,Día,Periodo,Mes_Show,Día_Show,Periodo_Show,Cluster,Total Boletos Pred,TipoShow Pred
La Inocente,PLATINUM,Wallet,0,0,Junio,Miércoles,Mañana,Septiembre,Viernes,Mañana,2,2,Deporte
LIBERTAD FC VS Emelec SC,FUNCIÓN 3,AppExterna,1,1,Junio,Lunes,Mañana,Febrero,Domingo,Mañana,2,2,Deporte
TARDE CLIPP,PREVENTA ,PayPhone,1,1,Junio,Sábado,Tarde,Marzo,Sábado,Noche,2,3,Concierto
LIBERTAD FC VS Emelec SC,Adhesiones,PayPhone,1,0,Junio,Lunes,Mañana,Septiembre,Martes,Tarde,2,2,Deporte
El viaje de la Santa,SILLAS DIGITAL,PayPhone,1,0,Junio,Jueves,Noche,Noviembre,Sábado,Noche,2,3,Concierto
LIBERTAD FC VS Emelec SC,TRIBUNA NORTE,AppExterna,0,1,Junio,Lunes,Mañana,Febrero,Lunes,Tarde,2,2,Deporte
DESAYUNO EMPRESARIAL,BOLETO GENERAL,AppExterna,0,0,Junio,Jueves,Tarde,Junio,Domingo,Tarde,2,2,Cine
ALZATE,PRESIDENTES,Wallet,0,0,Junio,Sábado,Tarde,Marzo,Domingo,Noche,2,2,Concierto
El After de las Artes Vivas,TRIBUNA SUR,Wallet,0,0,Junio,Domingo,Noche,Julio,Domingo,Noche,2,2,Cine
El After de las Artes Vivas,VIP,PayPhone,1,0,Junio,Sábado,Tarde,Diciembre,Viernes,Tarde,2,2,Cine
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,PALCO,Wallet,0,0,Junio,Miércoles,Mañana,Agosto,Lunes,Mañana,2,4,Deporte
28ava Asamblea Nacional,GOLDEN,PayPhone,1,1,Junio,Lunes,Tarde,Marzo,Domingo,Noche,2,2,Concierto
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,SALA 3,PayPhone,0,1,Junio,Domingo,Tarde,Julio,Jueves,Mañana,2,3,Deporte
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,GOLDEN,PayPhone,1,0,Junio,Sábado,Mañana,Julio,Viernes,Tarde,2,2,Cine
A pebble falling on a silent lake,VIP,PayPhone,1,1,Junio,Miércoles,Noche,Abril,Lunes,Noche,2,2,Deporte
FESTIVAL DE LA CHICHA,SALA 3,AppExterna,1,0,Junio,Lunes,Mañana,Diciembre,Jueves,Mañana,2,3,Deporte
El After de las Artes Vivas,FUNCIÓN 1,Wallet,1,1,Junio,Miércoles,Mañana,Mayo,Domingo,Mañana,2,6,Deporte
MOANA 2,FUNCIÓN 1,AppExterna,0,1,Junio,Jueves,Tarde,Julio,Martes,Mañana,2,3,Teatro
28ava Asamblea Nacional,SALA 1 2D,AppExterna,0,1,Junio,Miércoles,Mañana,Julio,Jueves,Mañana,2,5,Teatro
El viaje de la Santa,BOLETO PALCO,AppExterna,1,1,Junio,Jueves,Mañana,Diciembre,Jueves,Mañana,2,2,Deporte
JORGE GUZMAN VS BARCELONA,VIP,AppExterna,1,0,Junio,Domingo,Tarde,Septiembre,Viernes,Noche,2,2,Concierto
Ibarra Fight League,PREFERENCIA,Wallet,0,0,Junio,Sábado,Tarde,Junio,Domingo,Noche,2,3,Cine
JORGE GUZMAN VS BARCELONA,TRIBUNA NORTE,AppExterna,0,0,Junio,Jueves,Noche,Febrero,Jueves,Tarde,2,2,Deporte
DESAYUNO EMPRESARIAL,SALA 1 3D,AppExterna,1,0,Junio,Jueves,Tarde,Julio,Viernes,Noche,2,2,Cine
ALZATE,Golden Box,Wallet,1,0,Junio,Sábado,Noche,Mayo,Martes,Tarde,2,2,Deporte
FESTIVAL DE LA CHICHA,VIP,AppExterna,1,0,Junio,Lunes,Noche,Junio,Jueves,Tarde,2,1,Cine
Ibarra Fight League,SALA 1 3D,PayPhone,0,1,Junio,Miércoles,Noche,Noviembre,Lunes,Mañana,2,8,Deporte
FESTIVAL DE LA CHICHA,SALA 2,AppExterna,0,1,Junio,Miércoles,Noche,Julio,Miércoles,Mañana,2,2,Teatro
El viaje de la Santa,SALA 1 2D,AppExterna,0,1,Junio,Lunes,Mañana,Marzo,Miércoles,Noche,0,2,Teatro
TARDE CLIPP,SALA 1 3D,Wallet,0,0,Junio,Lunes,Mañana,Febrero,Domingo,Tarde,2,2,Concierto
El After de las Artes Vivas,GENERAL,PayPhone,1,1,Junio,Domingo,Mañana,Abril,Martes,Tarde,2,2,Donación
San Juanes Santa Rosa del Tejar,PALCO,Wallet,1,1,Junio,Miércoles,Noche,Abril,Miércoles,Noche,2,2,Concierto
28ava Asamblea Nacional,GOLDEN,PayPhone,0,0,Junio,Domingo,Tarde,Agosto,Miércoles,Noche,2,2,Concierto
RALLY PROVINCIA DE LOJA,GENERAL,AppExterna,1,0,Junio,Lunes,Tarde,Noviembre,Miércoles,Tarde,0,2,Teatro
FESTIVAL DE LA CHICHA,SALA 1 3D,AppExterna,1,1,Junio,Miércoles,Mañana,Marzo,Jueves,Tarde,2,2,Cine
ALZATE,INSCRIPCIÓN DIGITAL,Wallet,1,1,Junio,Jueves,Tarde,Marzo,Lunes,Noche,2,2,Deporte
28ava Asamblea Nacional,VENTA OFICIAL,AppExterna,1,0,Junio,Jueves,Mañana,Junio,Lunes,Mañana,2,2,Deporte
El After de las Artes Vivas,PREVENTA ,PayPhone,0,1,Junio,Miércoles,Tarde,Mayo,Martes,Tarde,2,2,Deporte
LIBERTAD FC VS Emelec SC,FUNCIÓN 3,AppExterna,0,1,Junio,Sábado,Tarde,Abril,Domingo,Noche,2,3,Concierto
CAPACITACION FERIA,PRESIDENTES,PayPhone,0,0,Junio,Lunes,Mañana,Octubre,Lunes,Mañana,2,4,Deporte
JORGE GUZMAN VS BARCELONA,BOLETO PALCO,Wallet,1,0,Junio,Miércoles,Noche,Octubre,Viernes,Noche,2,2,Concierto
DESAYUNO EMPRESARIAL,FUNCIÓN 3,AppExterna,0,1,Junio,Lunes,Tarde,Agosto,Lunes,Noche,2,2,Deporte
FESTIVAL DE LA CHICHA,CORTESÍAS VIP,AppExterna,1,1,Junio,Sábado,Tarde,Octubre,Lunes,Tarde,2,2,Deporte
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,SALA 2,AppExterna,1,0,Junio,Lunes,Mañana,Julio,Viernes,Noche,2,2,Cine
DESAYUNO EMPRESARIAL,TRIBUNA SUR,PayPhone,1,0,Junio,Miércoles,Noche,Octubre,Domingo,Tarde,2,1,Concierto
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,GENERAL,AppExterna,0,1,Junio,Miércoles,Tarde,Abril,Domingo,Mañana,2,5,Deporte
28ava Asamblea Nacional,GENERAL,AppExterna,1,0,Junio,Miércoles,Tarde,Julio,Viernes,Noche,2,2,Cine
28ava Asamblea Nacional,VIP,PayPhone,0,1,Junio,Domingo,Noche,Noviembre,Jueves,Noche,2,3,Cine
Libertad Vs U Catolica,FUNCIÓN 2,Wallet,1,0,Junio,Lunes,Tarde,Marzo,Sábado,Noche,2,3,Concierto
RALLY PROVINCIA DE LOJA,BOLETO SOLIDARIO,PayPhone,1,0,Junio,Lunes,Tarde,Noviembre,Domingo,Tarde,2,3,Concierto
28ava Asamblea Nacional,FUNCIÓN 1,PayPhone,0,0,Junio,Lunes,Noche,Noviembre,Domingo,Noche,2,2,Concierto
28ava Asamblea Nacional,BOLETO GENERAL,Wallet,0,0,Junio,Miércoles,Mañana,Abril,Lunes,Mañana,2,3,Deporte
MOANA 2,FUNCIÓN 1,PayPhone,0,0,Junio,Lunes,Noche,Julio,Sábado,Tarde,2,1,Cine
RALLY PROVINCIA DE LOJA,Adhesiones,AppExterna,0,1,Junio,Miércoles,Mañana,Marzo,Miércoles,Mañana,2,2,Deporte
TARDE CLIPP,SALA 2,Wallet,0,0,Junio,Jueves,Noche,Marzo,Domingo,Tarde,2,2,Concierto
FESTIVAL DE LA CHICHA,TRIBUNA NORTE,Wallet,0,1,Junio,Miércoles,Tarde,Octubre,Martes,Mañana,2,3,Teatro
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,PRESIDENTES,PayPhone,1,0,Junio,Miércoles,Tarde,Febrero,Miércoles,Tarde,2,2,Concierto
Ibarra Fight League,GOLDEN,Wallet,1,1,Junio,Jueves,Tarde,Junio,Lunes,Noche,2,3,Deporte
El After de las Artes Vivas,PLATEA MEDIA,PayPhone,1,0,Junio,Lunes,Noche,Julio,Lunes,Noche,2,2,Cine
LIBERTAD FC VS Emelec SC,FUNCIÓN 1,Wallet,0,1,Junio,Jueves,Tarde,Septiembre,Martes,Noche,2,2,Concierto
MOANA 2,PALCO,PayPhone,1,0,Junio,Lunes,Mañana,Diciembre,Miércoles,Noche,2,2,Cine
TARDE CLIPP,GENERAL,AppExterna,1,1,Junio,Sábado,Noche,Julio,Sábado,Noche,2,3,Cine
MOANA 2,PLATEA MEDIA,AppExterna,1,0,Junio,Miércoles,Mañana,Diciembre,Domingo,Noche,2,1,Cine
La Inocente,VIP,Wallet,1,1,Junio,Domingo,Mañana,Septiembre,Martes,Tarde,2,2,Deporte
LIBERTAD FC VS Emelec SC,Adhesiones,Wallet,0,1,Junio,Jueves,Mañana,Julio,Viernes,Noche,2,3,Cine
Los peces no vuelan,FUNCIÓN 1,AppExterna,1,0,Junio,Miércoles,Mañana,Agosto,Domingo,Tarde,2,1,Concierto
El viaje de la Santa,SALA 1 2D,AppExterna,1,1,Junio,Domingo,Tarde,Abril,Martes,Tarde,2,2,Deporte
Los peces no vuelan,PRESIDENTES,PayPhone,1,0,Junio,Domingo,Noche,Marzo,Domingo,Tarde,2,2,Concierto
A pebble falling on a silent lake,BOLETO SOLIDARIO,Wallet,0,0,Junio,Domingo,Mañana,Junio,Viernes,Noche,2,2,Cine
A pebble falling on a silent lake,SALA 1 2D,AppExterna,0,0,Junio,Jueves,Noche,Marzo,Miércoles,Noche,3,2,Concierto
El After de las Artes Vivas,PLATINUM,PayPhone,1,1,Junio,Lunes,Mañana,Diciembre,Domingo,Tarde,2,2,Cine
RALLY PROVINCIA DE LOJA,Adhesiones,PayPhone,1,1,Junio,Sábado,Mañana,Octubre,Miércoles,Mañana,2,5,Teatro
LIBERTAD FC VS Emelec SC,SILLAS DIGITAL,PayPhone,0,1,Junio,Domingo,Tarde,Febrero,Lunes,Noche,2,2,Deporte
El After de las Artes Vivas,PLATEA BAJA,AppExterna,0,0,Junio,Lunes,Noche,Septiembre,Viernes,Mañana,3,4,Deporte
MOANA 2,PLATEA ALTA,Wallet,1,0,Junio,Miércoles,Noche,Abril,Miércoles,Mañana,2,4,Teatro
La Inocente,PRESIDENTES,Wallet,1,1,Junio,Jueves,Noche,Febrero,Martes,Noche,2,2,Deporte
LIBERTAD FC VS Emelec SC,VENTA OFICIAL,AppExterna,0,1,Junio,Sábado,Tarde,Abril,Viernes,Noche,2,2,Concierto
El viaje de la Santa,CORTESÍAS VIP,AppExterna,0,1,Junio,Jueves,Noche,Diciembre,Lunes,Noche,2,2,Deporte
MOANA 2,BOLETO SOLIDARIO,AppExterna,0,0,Junio,Jueves,Tarde,Mayo,Jueves,Tarde,2,2,Deporte
MOANA 2,Golden Box,PayPhone,0,1,Junio,Jueves,Mañana,Mayo,Lunes,Tarde,2,2,Deporte
El viaje de la Santa,CORTESÍAS VIP,Wallet,0,0,Junio,Sábado,Mañana,Febrero,Miércoles,Mañana,2,3,Teatro
FESTIVAL DE LA CHICHA,SALA 1 3D,PayPhone,1,0,Junio,Miércoles,Noche,Abril,Viernes,Mañana,2,1,Deporte
CAPACITACION FERIA,CORTESÍAS VIP,AppExterna,0,0,Junio,Lunes,Tarde,Diciembre,Jueves,Tarde,2,2,Cine
San Juanes Santa Rosa del Tejar,FUNCIÓN 1,PayPhone,1,0,Junio,Domingo,Tarde,Agosto,Martes,Mañana,2,3,Deporte
FESTIVAL DE LA CHICHA,PLATEA BAJA,AppExterna,0,0,Junio,Miércoles,Mañana,Septiembre,Lunes,Tarde,3,3,Deporte
FESTIVAL DE LA CHICHA,SALA 3,AppExterna,1,0,Junio,Domingo,Noche,Noviembre,Domingo,Tarde,2,1,Concierto
28ava Asamblea Nacional,CORTESÍAS,PayPhone,0,1,Junio,Jueves,Noche,Septiembre,Martes,Tarde,2,2,Deporte
Los peces no vuelan,PLATEA BAJA,PayPhone,1,1,Junio,Domingo,Mañana,Junio,Jueves,Noche,2,3,Cine
ALZATE,TRIBUNA NORTE,PayPhone,1,1,Junio,Miércoles,Tarde,Agosto,Jueves,Noche,2,2,Deporte
CAPACITACION FERIA,TRIBUNA NORTE,PayPhone,0,0,Junio,Miércoles,Tarde,Junio,Miércoles,Mañana,2,2,Deporte
A pebble falling on a silent lake,PLATEA ALTA,Wallet,1,1,Junio,Sábado,Tarde,Noviembre,Viernes,Tarde,2,2,Concierto
El viaje de la Santa,SALA 2,AppExterna,0,0,Junio,Jueves,Mañana,Diciembre,Martes,Tarde,2,1,Cine
FESTIVAL DE LA CHICHA,GENERAL,PayPhone,0,1,Junio,Domingo,Noche,Septiembre,Miércoles,Tarde,2,3,Concierto
A pebble falling on a silent lake,PREVENTA ,Wallet,1,0,Junio,Jueves,Noche,Marzo,Lunes,Mañana,2,3,Otro
La Inocente,PLATEA BAJA,AppExterna,1,0,Junio,Lunes,Noche,Mayo,Martes,Noche,2,2,Teatro
TARDE CLIPP,INSCRIPCIÓN DIGITAL,PayPhone,1,0,Junio,Sábado,Noche,Septiembre,Lunes,Mañana,2,3,Deporte
San Juanes Santa Rosa del Tejar,CORTESÍAS VIP,PayPhone,0,0,Junio,Lunes,Mañana,Septiembre,Lunes,Tarde,2,2,Deporte
Libertad Vs U Catolica,BOLETO SOLIDARIO,AppExterna,1,1,Junio,Miércoles,Mañana,Noviembre,Sábado,Noche,0,2,Concierto
DESAYUNO EMPRESARIAL,SILLAS DIGITAL,AppExterna,1,0,Junio,Lunes,Tarde,Marzo,Sábado,Mañana,2,7,Deporte
TARDE CLIPP,FUNCIÓN 3,AppExterna,1,0,Junio,Miércoles,Noche,Septiembre,Lunes,Tarde,2,2,Deporte
TARDE CLIPP,CORTESÍAS GOLDEN,PayPhone,1,1,Junio,Lunes,Tarde,Agosto,Viernes,Tarde,2,2,Deporte
MOANA 2,VIP,AppExterna,0,0,Junio,Domingo,Noche,Febrero,Jueves,Tarde,2,1,Deporte
MOANA 2,PALCO,PayPhone,0,1,Junio,Sábado,Tarde,Noviembre,Domingo,Mañana,2,4,Concierto
San Juanes Santa Rosa del Tejar,TRIBUNA SUR,PayPhone,0,0,Junio,Jueves,Tarde,Octubre,Miércoles,Tarde,2,3,Concierto
Los peces no vuelan,CORTESÍAS VIP,AppExterna,0,1,Junio,Miércoles,Mañana,Diciembre,Viernes,Tarde,2,2,Cine
El After de las Artes Vivas,PRESIDENTES,AppExterna,0,1,Junio,Miércoles,Tarde,Agosto,Martes,Noche,2,2,Deporte
LIBERTAD FC VS Emelec SC,PLATINUM,AppExterna,0,1,Junio,Sábado,Mañana,Octubre,Jueves,Noche,2,2,Cine
A pebble falling on a silent lake,BOLETO SOLIDARIO,AppExterna,0,0,Junio,Sábado,Noche,Abril,Viernes,Noche,2,2,Concierto
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,Golden Box,Wallet,1,0,Junio,Domingo,Tarde,Abril,Sábado,Mañana,2,2,Deporte
El After de las Artes Vivas,SALA 2,PayPhone,0,1,Junio,Domingo,Noche,Febrero,Martes,Mañana,2,3,Talleres
RALLY PROVINCIA DE LOJA,Adhesiones,Wallet,0,1,Junio,Miércoles,Mañana,Febrero,Sábado,Mañana,2,4,Deporte
La Inocente,GENERAL,PayPhone,0,1,Junio,Miércoles,Mañana,Diciembre,Domingo,Noche,2,3,Cine
ALZATE,Adhesiones,PayPhone,1,1,Junio,Sábado,Mañana,Septiembre,Viernes,Tarde,2,2,Concierto
MOANA 2,INSCRIPCIÓN DIGITAL,AppExterna,1,1,Junio,Jueves,Noche,Marzo,Lunes,Mañana,2,2,Deporte
DESAYUNO EMPRESARIAL,PLATINUM,Wallet,0,0,Junio,Lunes,Tarde,Marzo,Viernes,Tarde,2,6,Cine
LIBERTAD FC VS Emelec SC,FUNCIÓN 1,Wallet,0,1,Junio,Lunes,Tarde,Noviembre,Sábado,Tarde,0,2,Concierto
MOANA 2,GENERAL,AppExterna,1,0,Junio,Lunes,Mañana,Julio,Jueves,Noche,2,2,Cine
TARDE CLIPP,PLATINUM,PayPhone,0,1,Junio,Jueves,Tarde,Febrero,Domingo,Tarde,2,2,Concierto
Libertad Vs U Catolica,BOLETO SOLIDARIO,AppExterna,1,1,Junio,Jueves,Noche,Noviembre,Jueves,Tarde,0,2,Teatro
Ibarra Fight League,PLATEA MEDIA,Wallet,0,0,Junio,Jueves,Noche,Mayo,Domingo,Noche,2,2,Concierto
TARDE CLIPP,SALA 3,PayPhone,1,1,Junio,Domingo,Noche,Septiembre,Jueves,Mañana,2,4,Deporte
Los peces no vuelan,CORTESÍAS GOLDEN,PayPhone,0,1,Junio,Domingo,Noche,Agosto,Sábado,Tarde,2,3,Deporte
San Juanes Santa Rosa del Tejar,FUNCIÓN 3,AppExterna,1,1,Junio,Jueves,Tarde,Marzo,Martes,Noche,2,2,Concierto
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,INSCRIPCIÓN DIGITAL,PayPhone,1,1,Junio,Jueves,Noche,Septiembre,Domingo,Tarde,2,2,Concierto
La Inocente,PLATEA BAJA,Wallet,1,0,Junio,Domingo,Tarde,Diciembre,Jueves,Mañana,2,3,Teatro
TARDE CLIPP,FUNCIÓN 2,AppExterna,0,0,Junio,Lunes,Tarde,Agosto,Sábado,Mañana,1,2,Deporte
ALZATE,INSCRIPCIÓN DIGITAL,PayPhone,1,1,Junio,Jueves,Mañana,Septiembre,Sábado,Mañana,2,2,Deporte
MOANA 2,PLATEA BAJA,PayPhone,0,0,Junio,Miércoles,Mañana,Octubre,Jueves,Tarde,2,3,Deporte
FESTIVAL DE LA CHICHA,BOLETO GENERAL,PayPhone,1,1,Junio,Sábado,Tarde,Mayo,Lunes,Tarde,2,2,Deporte
RALLY PROVINCIA DE LOJA,PALCO,AppExterna,0,1,Junio,Lunes,Tarde,Octubre,Viernes,Tarde,2,3,Concierto
San Juanes Santa Rosa del Tejar,BOLETO PALCO,AppExterna,0,1,Junio,Jueves,Mañana,Febrero,Martes,Mañana,2,2,Teatro
El viaje de la Santa,CORTESÍAS,PayPhone,0,1,Junio,Lunes,Mañana,Mayo,Martes,Noche,2,2,Concierto
LIBERTAD FC VS Emelec SC,SILLAS DIGITAL,AppExterna,0,0,Junio,Domingo,Mañana,Marzo,Sábado,Mañana,2,6,Deporte
DESAYUNO EMPRESARIAL,SALA 1 3D,AppExterna,0,0,Junio,Domingo,Mañana,Julio,Miércoles,Mañana,2,5,Teatro
La Inocente,SILLAS DIGITAL,Wallet,0,0,Junio,Domingo,Noche,Mayo,Jueves,Tarde,2,2,Deporte
FESTIVAL DE LA CHICHA,CORTESÍAS GOLDEN,Wallet,0,0,Junio,Domingo,Tarde,Febrero,Miércoles,Mañana,2,5,Teatro
DESAYUNO EMPRESARIAL,GENERAL,Wallet,0,1,Junio,Lunes,Mañana,Febrero,Miércoles,Mañana,2,6,Teatro
DESAYUNO EMPRESARIAL,GENERAL,Wallet,0,1,Junio,Miércoles,Mañana,Septiembre,Martes,Mañana,2,6,Deporte
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,CORTESÍAS GOLDEN,PayPhone,0,0,Junio,Lunes,Mañana,Junio,Jueves,Tarde,2,2,Cine
RALLY PROVINCIA DE LOJA,CORTESÍAS,PayPhone,0,1,Junio,Lunes,Mañana,Septiembre,Viernes,Mañana,2,5,Deporte
TARDE CLIPP,SALA 3,PayPhone,1,1,Junio,Jueves,Mañana,Septiembre,Viernes,Mañana,2,3,Deporte
JORGE GUZMAN VS BARCELONA,PRESIDENTES,Wallet,1,0,Junio,Miércoles,Mañana,Mayo,Domingo,Noche,2,2,Concierto
FESTIVAL DE LA CHICHA,PLATINUM,AppExterna,0,1,Junio,Miércoles,Noche,Diciembre,Martes,Tarde,2,1,Cine
JORGE GUZMAN VS BARCELONA,GOLDEN,AppExterna,1,1,Junio,Domingo,Mañana,Julio,Lunes,Tarde,2,2,Deporte
MOANA 2,SALA 1 2D,AppExterna,0,1,Junio,Lunes,Noche,Octubre,Viernes,Tarde,2,2,Concierto
ALZATE,INSCRIPCIÓN DIGITAL,PayPhone,0,0,Junio,Jueves,Tarde,Agosto,Jueves,Noche,2,2,Deporte
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,PLATINUM,AppExterna,0,1,Junio,Jueves,Mañana,Julio,Martes,Mañana,2,3,Teatro
TARDE CLIPP,CORTESÍAS,AppExterna,0,1,Junio,Jueves,Mañana,Agosto,Jueves,Mañana,2,2,Deporte
Ibarra Fight League,GOLDEN,AppExterna,1,0,Junio,Domingo,Mañana,Noviembre,Viernes,Tarde,2,2,Concierto
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,BOLETO GENERAL,PayPhone,0,1,Junio,Lunes,Noche,Marzo,Miércoles,Mañana,2,6,Teatro
A pebble falling on a silent lake,PRESIDENTES,Wallet,1,0,Junio,Miércoles,Mañana,Octubre,Miércoles,Noche,2,2,Concierto
La Inocente,BOLETO SOLIDARIO,Wallet,1,1,Junio,Miércoles,Tarde,Julio,Sábado,Mañana,2,6,Deporte
San Juanes Santa Rosa del Tejar,CORTESÍAS VIP,AppExterna,1,0,Junio,Miércoles,Tarde,Diciembre,Viernes,Noche,2,2,Cine
28ava Asamblea Nacional,CORTESÍAS VIP,PayPhone,1,1,Junio,Lunes,Tarde,Mayo,Viernes,Tarde,2,2,Deporte
DESAYUNO EMPRESARIAL,PLATEA MEDIA,PayPhone,1,1,Junio,Miércoles,Noche,Febrero,Lunes,Noche,2,2,Deporte
El After de las Artes Vivas,FUNCIÓN 1,PayPhone,0,0,Junio,Jueves,Tarde,Agosto,Domingo,Mañana,2,3,Deporte
LIBERTAD FC VS Emelec SC,SILLAS DIGITAL,PayPhone,1,1,Junio,Lunes,Tarde,Agosto,Viernes,Mañana,2,4,Deporte
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,SALA 1 2D,Wallet,0,1,Junio,Miércoles,Tarde,Noviembre,Jueves,Noche,0,2,Teatro
CAPACITACION FERIA,PREVENTA ,Wallet,0,1,Junio,Miércoles,Mañana,Mayo,Lunes,Noche,2,2,Deporte
A pebble falling on a silent lake,Adhesiones,Wallet,0,1,Junio,Jueves,Tarde,Abril,Sábado,Mañana,2,5,Deporte
28ava Asamblea Nacional,SALA 1 2D,Wallet,0,0,Junio,Miércoles,Noche,Diciembre,Jueves,Tarde,2,2,Deporte
San Juanes Santa Rosa del Tejar,INSCRIPCIÓN DIGITAL,Wallet,0,1,Junio,Miércoles,Tarde,Junio,Martes,Noche,2,2,Deporte
JORGE GUZMAN VS BARCELONA,FUNCIÓN 3,Wallet,0,0,Junio,Jueves,Tarde,Febrero,Lunes,Noche,2,2,Deporte
LIBERTAD FC VS Emelec SC,GENERAL,AppExterna,1,0,Junio,Sábado,Mañana,Septiembre,Domingo,Noche,2,2,Concierto
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,CORTESÍAS,PayPhone,1,0,Junio,Sábado,Noche,Octubre,Sábado,Tarde,2,2,Deporte
San Juanes Santa Rosa del Tejar,GENERAL,Wallet,0,0,Junio,Miércoles,Mañana,Octubre,Jueves,Mañana,2,5,Cine
Libertad Vs U Catolica,BOLETO SOLIDARIO,PayPhone,0,0,Junio,Jueves,Tarde,Febrero,Lunes,Tarde,2,3,Deporte
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,PLATEA ALTA,Wallet,0,1,Junio,Lunes,Noche,Diciembre,Lunes,Tarde,2,3,Deporte
Libertad Vs U Catolica,PRESIDENTES,AppExterna,1,1,Junio,Domingo,Noche,Junio,Miércoles,Tarde,2,3,Teatro
El viaje de la Santa,TRIBUNA NORTE,AppExterna,0,0,Junio,Sábado,Mañana,Diciembre,Martes,Noche,2,1,Cine
RALLY PROVINCIA DE LOJA,GENERAL,AppExterna,0,0,Junio,Lunes,Noche,Julio,Martes,Mañana,2,2,Otro
San Juanes Santa Rosa del Tejar,SALA 3,Wallet,1,1,Junio,Domingo,Mañana,Marzo,Domingo,Noche,2,2,Concierto
ALZATE,Adhesiones,Wallet,1,1,Junio,Sábado,Mañana,Abril,Sábado,Mañana,2,2,Deporte
ALZATE,PLATINUM,Wallet,1,1,Junio,Domingo,Tarde,Junio,Sábado,Tarde,2,2,Deporte
TARDE CLIPP,VIP,AppExterna,0,1,Junio,Jueves,Noche,Julio,Miércoles,Tarde,2,2,Concierto
La Inocente,VIP,PayPhone,1,1,Junio,Lunes,Mañana,Febrero,Martes,Tarde,2,2,Deporte
El After de las Artes Vivas,PRESIDENTES,AppExterna,1,1,Junio,Sábado,Noche,Noviembre,Domingo,Noche,0,4,Teatro
CAPACITACION FERIA,PREFERENCIA,Wallet,1,0,Junio,Lunes,Tarde,Mayo,Jueves,Noche,2,2,Cine
La Inocente,FUNCIÓN 3,AppExterna,0,0,Junio,Sábado,Tarde,Abril,Martes,Noche,2,2,Concierto
El After de las Artes Vivas,SALA 2,AppExterna,0,0,Junio,Lunes,Tarde,Junio,Domingo,Noche,2,2,Cine
El viaje de la Santa,BOLETO GENERAL,AppExterna,0,1,Junio,Sábado,Noche,Noviembre,Miércoles,Mañana,0,6,Teatro
Libertad Vs U Catolica,FUNCIÓN 2,PayPhone,1,1,Junio,Miércoles,Noche,Septiembre,Viernes,Noche,2,2,Concierto
San Juanes Santa Rosa del Tejar,SALA 1 2D,AppExterna,0,1,Junio,Domingo,Tarde,Octubre,Miércoles,Noche,2,2,Concierto
El After de las Artes Vivas,PRESIDENTES,AppExterna,0,0,Junio,Jueves,Tarde,Agosto,Domingo,Tarde,2,2,Concierto
El viaje de la Santa,CORTESÍAS GOLDEN,Wallet,0,1,Junio,Domingo,Noche,Mayo,Miércoles,Tarde,2,3,Concierto
DESAYUNO EMPRESARIAL,PREVENTA ,Wallet,1,0,Junio,Lunes,Tarde,Junio,Lunes,Tarde,2,3,Deporte
Los peces no vuelan,SALA 2,Wallet,1,1,Junio,Miércoles,Mañana,Diciembre,Lunes,Mañana,2,3,Deporte
El viaje de la Santa,GOLDEN,Wallet,0,0,Junio,Jueves,Noche,Julio,Miércoles,Tarde,2,2,Concierto
RALLY PROVINCIA DE LOJA,SILLAS DIGITAL,Wallet,1,0,Junio,Domingo,Mañana,Agosto,Domingo,Noche,2,2,Concierto
Ibarra Fight League,PREVENTA ,AppExterna,1,1,Junio,Domingo,Noche,Febrero,Lunes,Tarde,2,2,Deporte
El After de las Artes Vivas,Adhesiones,AppExterna,0,1,Junio,Miércoles,Noche,Agosto,Viernes,Noche,2,2,Concierto
LIBERTAD FC VS Emelec SC,BOLETO SOLIDARIO,Wallet,0,1,Junio,Jueves,Mañana,Agosto,Martes,Noche,2,2,Deporte
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,TRIBUNA NORTE,PayPhone,0,0,Junio,Miércoles,Mañana,Febrero,Miércoles,Tarde,2,2,Deporte
ALZATE,TRIBUNA NORTE,Wallet,0,1,Junio,Miércoles,Tarde,Septiembre,Sábado,Noche,3,2,Concierto
LIBERTAD FC VS Emelec SC,INSCRIPCIÓN DIGITAL,PayPhone,0,0,Junio,Domingo,Tarde,Julio,Sábado,Tarde,2,2,Cine
